Datetime : 2021-02-05 18:03:55.463307
Epoch: [1][1099/2342]	Iter:1100	Loss:0.0191 (avg:0.0224)	
Epoch: [1][1199/2342]	Iter:1200	Loss:0.0135 (avg:0.0219)	
Epoch: [1][1299/2342]	Iter:1300	Loss:0.0148 (avg:0.0215)	
Epoch: [1][1399/2342]	Iter:1400	Loss:0.0132 (avg:0.0212)	
Epoch: [1][1499/2342]	Iter:1500	Loss:0.0145 (avg:0.0209)	
Epoch: [1][1599/2342]	Iter:1600	Loss:0.0164 (avg:0.0206)	
Epoch: [1][1699/2342]	Iter:1700	Loss:0.0139 (avg:0.0203)	
Epoch: [1][1799/2342]	Iter:1800	Loss:0.0170 (avg:0.0201)	
Epoch: [1][1899/2342]	Iter:1900	Loss:0.0139 (avg:0.0199)	
Epoch: [1][1999/2342]	Iter:2000	Loss:0.0196 (avg:0.0197)	
Epoch: [1][2099/2342]	Iter:2100	Loss:0.0150 (avg:0.0195)	
Epoch: [1][2199/2342]	Iter:2200	Loss:0.0141 (avg:0.0193)	
Epoch: [1][2299/2342]	Iter:2300	Loss:0.0117 (avg:0.0192)	
Saving the final model.
Epoch: [2][57/2342]	Iter:2400	Loss:0.0199 (avg:0.0190)	
Epoch: [2][157/2342]	Iter:2500	Loss:0.0195 (avg:0.0189)	
Epoch: [2][257/2342]	Iter:2600	Loss:0.0123 (avg:0.0187)	
Epoch: [2][357/2342]	Iter:2700	Loss:0.0180 (avg:0.0186)	
Epoch: [2][457/2342]	Iter:2800	Loss:0.0163 (avg:0.0185)	
Epoch: [2][557/2342]	Iter:2900	Loss:0.0212 (avg:0.0184)	
Epoch: [2][657/2342]	Iter:3000	Loss:0.0167 (avg:0.0183)	
Epoch: [2][757/2342]	Iter:3100	Loss:0.0090 (avg:0.0182)	
Epoch: [2][857/2342]	Iter:3200	Loss:0.0164 (avg:0.0181)	
Epoch: [2][957/2342]	Iter:3300	Loss:0.0158 (avg:0.0180)	
Epoch: [2][1057/2342]	Iter:3400	Loss:0.0180 (avg:0.0179)	
Epoch: [2][1157/2342]	Iter:3500	Loss:0.0128 (avg:0.0178)	
Epoch: [2][1257/2342]	Iter:3600	Loss:0.0160 (avg:0.0177)	
Epoch: [2][1357/2342]	Iter:3700	Loss:0.0120 (avg:0.0176)	
Epoch: [2][1457/2342]	Iter:3800	Loss:0.0127 (avg:0.0175)	
Epoch: [2][1557/2342]	Iter:3900	Loss:0.0277 (avg:0.0174)	
Epoch: [2][1657/2342]	Iter:4000	Loss:0.0108 (avg:0.0173)	
Epoch: [2][1757/2342]	Iter:4100	Loss:0.0158 (avg:0.0173)	
Epoch: [2][1857/2342]	Iter:4200	Loss:0.0137 (avg:0.0172)	
Epoch: [2][1957/2342]	Iter:4300	Loss:0.0155 (avg:0.0171)	
Epoch: [2][2057/2342]	Iter:4400	Loss:0.0162 (avg:0.0171)	
Epoch: [2][2157/2342]	Iter:4500	Loss:0.0088 (avg:0.0170)	
Epoch: [2][2257/2342]	Iter:4600	Loss:0.0148 (avg:0.0169)	
Saving the final model.
Epoch: [3][15/2342]	Iter:4700	Loss:0.0142 (avg:0.0169)	
Epoch: [3][115/2342]	Iter:4800	Loss:0.0257 (avg:0.0168)	
Epoch: [3][215/2342]	Iter:4900	Loss:0.0108 (avg:0.0168)	
Iter: [5000][0/586]	TEST PSNR: ( 34.0147,  34.0147)	val_loss: ( 0.0134,  0.0134)	
Iter: [5000][1/586]	TEST PSNR: ( 37.4017,  35.7082)	val_loss: ( 0.0089,  0.0112)	
Iter: [5000][2/586]	TEST PSNR: ( 35.8005,  35.7390)	val_loss: ( 0.0099,  0.0108)	
Iter: [5000][3/586]	TEST PSNR: ( 33.9873,  35.3011)	val_loss: ( 0.0130,  0.0113)	
Iter: [5000][4/586]	TEST PSNR: ( 34.6855,  35.1779)	val_loss: ( 0.0123,  0.0115)	
Iter: [5000][5/586]	TEST PSNR: ( 33.5775,  34.9112)	val_loss: ( 0.0142,  0.0120)	
Iter: [5000][6/586]	TEST PSNR: ( 36.1498,  35.0881)	val_loss: ( 0.0123,  0.0120)	
Iter: [5000][7/586]	TEST PSNR: ( 37.0183,  35.3294)	val_loss: ( 0.0082,  0.0115)	
Iter: [5000][8/586]	TEST PSNR: ( 33.2634,  35.0999)	val_loss: ( 0.0143,  0.0119)	
Iter: [5000][9/586]	TEST PSNR: ( 31.3280,  34.7227)	val_loss: ( 0.0199,  0.0127)	
Iter: [5000][10/586]	TEST PSNR: ( 33.1210,  34.5771)	val_loss: ( 0.0191,  0.0132)	
Iter: [5000][11/586]	TEST PSNR: ( 33.9088,  34.5214)	val_loss: ( 0.0169,  0.0135)	
Iter: [5000][12/586]	TEST PSNR: ( 34.3847,  34.5109)	val_loss: ( 0.0124,  0.0135)	
Iter: [5000][13/586]	TEST PSNR: ( 32.8077,  34.3892)	val_loss: ( 0.0162,  0.0136)	
Iter: [5000][14/586]	TEST PSNR: ( 34.3865,  34.3890)	val_loss: ( 0.0133,  0.0136)	
Iter: [5000][15/586]	TEST PSNR: ( 34.7268,  34.4101)	val_loss: ( 0.0124,  0.0135)	
Iter: [5000][16/586]	TEST PSNR: ( 33.8662,  34.3781)	val_loss: ( 0.0132,  0.0135)	
Iter: [5000][17/586]	TEST PSNR: ( 36.5260,  34.4975)	val_loss: ( 0.0113,  0.0134)	
Iter: [5000][18/586]	TEST PSNR: ( 34.1692,  34.4802)	val_loss: ( 0.0141,  0.0134)	
Iter: [5000][19/586]	TEST PSNR: ( 36.1006,  34.5612)	val_loss: ( 0.0097,  0.0133)	
Iter: [5000][20/586]	TEST PSNR: ( 36.9118,  34.6731)	val_loss: ( 0.0101,  0.0131)	
Iter: [5000][21/586]	TEST PSNR: ( 34.8783,  34.6825)	val_loss: ( 0.0133,  0.0131)	
Iter: [5000][22/586]	TEST PSNR: ( 32.3954,  34.5830)	val_loss: ( 0.0157,  0.0132)	
Iter: [5000][23/586]	TEST PSNR: ( 33.3672,  34.5324)	val_loss: ( 0.0160,  0.0133)	
Iter: [5000][24/586]	TEST PSNR: ( 34.1412,  34.5167)	val_loss: ( 0.0131,  0.0133)	
Iter: [5000][25/586]	TEST PSNR: ( 38.6788,  34.6768)	val_loss: ( 0.0087,  0.0132)	
Iter: [5000][26/586]	TEST PSNR: ( 34.8684,  34.6839)	val_loss: ( 0.0124,  0.0131)	
Iter: [5000][27/586]	TEST PSNR: ( 30.9385,  34.5501)	val_loss: ( 0.0193,  0.0133)	
Iter: [5000][28/586]	TEST PSNR: ( 32.9093,  34.4936)	val_loss: ( 0.0156,  0.0134)	
Iter: [5000][29/586]	TEST PSNR: ( 32.9783,  34.4430)	val_loss: ( 0.0133,  0.0134)	
Iter: [5000][30/586]	TEST PSNR: ( 36.5343,  34.5105)	val_loss: ( 0.0096,  0.0133)	
Iter: [5000][31/586]	TEST PSNR: ( 32.9263,  34.4610)	val_loss: ( 0.0143,  0.0133)	
Iter: [5000][32/586]	TEST PSNR: ( 35.0946,  34.4802)	val_loss: ( 0.0125,  0.0133)	
Iter: [5000][33/586]	TEST PSNR: ( 34.3658,  34.4768)	val_loss: ( 0.0122,  0.0133)	
Iter: [5000][34/586]	TEST PSNR: ( 36.3997,  34.5318)	val_loss: ( 0.0104,  0.0132)	
Iter: [5000][35/586]	TEST PSNR: ( 35.8373,  34.5680)	val_loss: ( 0.0113,  0.0131)	
Iter: [5000][36/586]	TEST PSNR: ( 33.1353,  34.5293)	val_loss: ( 0.0196,  0.0133)	
Iter: [5000][37/586]	TEST PSNR: ( 32.6603,  34.4801)	val_loss: ( 0.0134,  0.0133)	
Iter: [5000][38/586]	TEST PSNR: ( 33.3184,  34.4503)	val_loss: ( 0.0126,  0.0133)	
Iter: [5000][39/586]	TEST PSNR: ( 33.6337,  34.4299)	val_loss: ( 0.0137,  0.0133)	
Iter: [5000][40/586]	TEST PSNR: ( 33.8320,  34.4153)	val_loss: ( 0.0140,  0.0133)	
